Test_ID,Track,Race_No,Surface,Distance,Confidence,Top_3_Mass,AI_Picks,Strategy,Result,ROI_Percent,WinRate,Notes
T098,Lone Star Park,1,Dirt,330y,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T099,Lone Star Park,2,Dirt,330y,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T100,Lone Star Park,3,Dirt,250y,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T101,Lone Star Park,4,Dirt,220y,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T102,Lone Star Park,5,Dirt,440y,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T103,Lone Star Park,6,Dirt,300y,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T104,Lone Star Park,7,Dirt,400y,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T105,Lone Star Park,8,Dirt,440y,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T106,Lone Star Park,9,Dirt,250y,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T107,Woodbine,1,All Weather,6f,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T108,Woodbine,2,All Weather,1 1/16m,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T109,Woodbine,3,All Weather,1 1/16m,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T110,Woodbine,4,All Weather,6f,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T111,Gulfstream Park,1,All Weather,1m 70y,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T112,Gulfstream Park,2,All Weather,1 1/16m,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T113,Gulfstream Park,3,Dirt,1m,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T114,Gulfstream Park,4,Dirt,6f,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T115,Gulfstream Park,5,All Weather,6 1/2f,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T116,Gulfstream Park,6,All Weather,1 1/16m,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T117,Gulfstream Park,7,Dirt,6 1/2f,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T118,Gulfstream Park,8,All Weather,5f,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"
T119,Laurel Park,1,Turf,1m,,,"1,2,3","ATB ($2)","-",,,"Test Race; Pending backfill"

