# Medium-sized manifest for HTTP backfill (50-80 rows)
# Tracks: Parx Racing, Delta Downs, Mountaineer, Laurel Park, Churchill Downs
# Dates: 2025-11-20 through 2025-11-27
# All pred_* fields left empty
date,track,raceNo,pred_win,pred_place,pred_show
2025-11-20,Parx Racing,1,,,
2025-11-20,Parx Racing,2,,,
2025-11-20,Parx Racing,3,,,
2025-11-20,Parx Racing,4,,,
2025-11-20,Parx Racing,5,,,
2025-11-20,Parx Racing,6,,,
2025-11-20,Parx Racing,7,,,
2025-11-20,Parx Racing,8,,,
2025-11-20,Parx Racing,9,,,
2025-11-21,Parx Racing,1,,,
2025-11-21,Parx Racing,2,,,
2025-11-21,Parx Racing,3,,,
2025-11-21,Parx Racing,4,,,
2025-11-21,Parx Racing,5,,,
2025-11-22,Parx Racing,1,,,
2025-11-22,Parx Racing,2,,,
2025-11-22,Parx Racing,3,,,
2025-11-22,Parx Racing,4,,,
2025-11-23,Parx Racing,1,,,
2025-11-23,Parx Racing,2,,,
2025-11-24,Parx Racing,1,,,
2025-11-24,Parx Racing,2,,,
2025-11-25,Parx Racing,1,,,
2025-11-25,Parx Racing,2,,,
2025-11-26,Parx Racing,1,,,
2025-11-27,Parx Racing,1,,,
2025-11-20,Delta Downs,1,,,
2025-11-20,Delta Downs,2,,,
2025-11-20,Delta Downs,3,,,
2025-11-20,Delta Downs,4,,,
2025-11-20,Delta Downs,5,,,
2025-11-21,Delta Downs,1,,,
2025-11-21,Delta Downs,2,,,
2025-11-21,Delta Downs,3,,,
2025-11-21,Delta Downs,4,,,
2025-11-22,Delta Downs,1,,,
2025-11-22,Delta Downs,2,,,
2025-11-22,Delta Downs,3,,,
2025-11-23,Delta Downs,1,,,
2025-11-23,Delta Downs,2,,,
2025-11-24,Delta Downs,1,,,
2025-11-25,Delta Downs,1,,,
2025-11-25,Delta Downs,2,,,
2025-11-26,Delta Downs,1,,,
2025-11-27,Delta Downs,1,,,
2025-11-20,Mountaineer,1,,,
2025-11-20,Mountaineer,2,,,
2025-11-20,Mountaineer,3,,,
2025-11-20,Mountaineer,4,,,
2025-11-20,Mountaineer,5,,,
2025-11-21,Mountaineer,1,,,
2025-11-21,Mountaineer,2,,,
2025-11-21,Mountaineer,3,,,
2025-11-22,Mountaineer,1,,,
2025-11-22,Mountaineer,2,,,
2025-11-23,Mountaineer,1,,,
2025-11-24,Mountaineer,1,,,
2025-11-25,Mountaineer,1,,,
2025-11-26,Mountaineer,1,,,
2025-11-27,Mountaineer,1,,,
2025-11-20,Laurel Park,1,,,
2025-11-20,Laurel Park,2,,,
2025-11-20,Laurel Park,3,,,
2025-11-21,Laurel Park,1,,,
2025-11-21,Laurel Park,2,,,
2025-11-22,Laurel Park,1,,,
2025-11-22,Laurel Park,2,,,
2025-11-23,Laurel Park,1,,,
2025-11-24,Laurel Park,1,,,
2025-11-25,Laurel Park,2,,,
2025-11-26,Laurel Park,1,,,
2025-11-27,Laurel Park,1,,,
2025-11-20,Churchill Downs,1,,,
2025-11-20,Churchill Downs,2,,,
2025-11-20,Churchill Downs,3,,,
2025-11-21,Churchill Downs,1,,,
2025-11-21,Churchill Downs,2,,,
2025-11-22,Churchill Downs,1,,,
2025-11-22,Churchill Downs,2,,,
2025-11-23,Churchill Downs,1,,,
2025-11-24,Churchill Downs,1,,,
2025-11-25,Churchill Downs,1,,,
2025-11-26,Churchill Downs,1,,,
2025-11-27,Churchill Downs,1,,,
